etau,alpha,beta,etau_idx,alpha_idx,beta_idx,genie_1st_file_idx
5000,0.89,0.208,0,0,0,9000
5000,0.89,0.21,0,0,1,9010
5000,0.89,0.212,0,0,2,9020
5000,0.89,0.214,0,0,3,9030
5000,0.89,0.216,0,0,4,9040
5000,0.91,0.208,0,1,0,9050
5000,0.91,0.21,0,1,1,9060
5000,0.91,0.212,0,1,2,9070
5000,0.91,0.214,0,1,3,9080
5000,0.91,0.216,0,1,4,9090
5000,0.93,0.208,0,2,0,9100
5000,0.93,0.21,0,2,1,9110
5000,0.93,0.212,0,2,2,9120
5000,0.93,0.214,0,2,3,9130
5000,0.93,0.216,0,2,4,9140
5000,0.95,0.208,0,3,0,9150
5000,0.95,0.21,0,3,1,9160
5000,0.95,0.212,0,3,2,9170
5000,0.95,0.214,0,3,3,9180
5000,0.95,0.216,0,3,4,9190
5000,0.97,0.208,0,4,0,9200
5000,0.97,0.21,0,4,1,9210
5000,0.97,0.212,0,4,2,9220
5000,0.97,0.214,0,4,3,9230
5000,0.97,0.216,0,4,4,9240
10400,0.89,0.208,1,0,0,9250
10400,0.89,0.21,1,0,1,9260
10400,0.89,0.212,1,0,2,9270
10400,0.89,0.214,1,0,3,9280
10400,0.89,0.216,1,0,4,9290
10400,0.91,0.208,1,1,0,9300
10400,0.91,0.21,1,1,1,9310
10400,0.91,0.212,1,1,2,9320
10400,0.91,0.214,1,1,3,9330
10400,0.91,0.216,1,1,4,9340
10400,0.93,0.208,1,2,0,9350
10400,0.93,0.21,1,2,1,9360
10400,0.93,0.212,1,2,2,9370
10400,0.93,0.214,1,2,3,9380
10400,0.93,0.216,1,2,4,9390
10400,0.95,0.208,1,3,0,9400
10400,0.95,0.21,1,3,1,9410
10400,0.95,0.212,1,3,2,9420
10400,0.95,0.214,1,3,3,9430
10400,0.95,0.216,1,3,4,9440
10400,0.97,0.208,1,4,0,9450
10400,0.97,0.21,1,4,1,9460
10400,0.97,0.212,1,4,2,9470
10400,0.97,0.214,1,4,3,9480
10400,0.97,0.216,1,4,4,9490
18000,0.89,0.208,2,0,0,9500
18000,0.89,0.21,2,0,1,9510
18000,0.89,0.212,2,0,2,9520
18000,0.89,0.214,2,0,3,9530
18000,0.89,0.216,2,0,4,9540
18000,0.91,0.208,2,1,0,9550
18000,0.91,0.21,2,1,1,9560
18000,0.91,0.212,2,1,2,9570
18000,0.91,0.214,2,1,3,9580
18000,0.91,0.216,2,1,4,9590
18000,0.93,0.208,2,2,0,9600
18000,0.93,0.21,2,2,1,9610
18000,0.93,0.212,2,2,2,9620
18000,0.93,0.214,2,2,3,9630
18000,0.93,0.216,2,2,4,9640
18000,0.95,0.208,2,3,0,9650
18000,0.95,0.21,2,3,1,9660
18000,0.95,0.212,2,3,2,9670
18000,0.95,0.214,2,3,3,9680
18000,0.95,0.216,2,3,4,9690
18000,0.97,0.208,2,4,0,9700
18000,0.97,0.21,2,4,1,9710
18000,0.97,0.212,2,4,2,9720
18000,0.97,0.214,2,4,3,9730
18000,0.97,0.216,2,4,4,9740
30000,0.89,0.208,3,0,0,9750
30000,0.89,0.21,3,0,1,9760
30000,0.89,0.212,3,0,2,9770
30000,0.89,0.214,3,0,3,9780
30000,0.89,0.216,3,0,4,9790
30000,0.91,0.208,3,1,0,9800
30000,0.91,0.21,3,1,1,9810
30000,0.91,0.212,3,1,2,9820
30000,0.91,0.214,3,1,3,9830
30000,0.91,0.216,3,1,4,9840
30000,0.93,0.208,3,2,0,9850
30000,0.93,0.21,3,2,1,9860
30000,0.93,0.212,3,2,2,9870
30000,0.93,0.214,3,2,3,9880
30000,0.93,0.216,3,2,4,9890
30000,0.95,0.208,3,3,0,9900
30000,0.95,0.21,3,3,1,9910
30000,0.95,0.212,3,3,2,9920
30000,0.95,0.214,3,3,3,9930
30000,0.95,0.216,3,3,4,9940
30000,0.97,0.208,3,4,0,9950
30000,0.97,0.21,3,4,1,9960
30000,0.97,0.212,3,4,2,9970
30000,0.97,0.214,3,4,3,9980
30000,0.97,0.216,3,4,4,9990
